,OFIPS,DFIPS,comm,quantity,startRR,ONode,DNode,ODIST
408,20047,29095,1,3588.48,777,,,
409,20055,48167,1,96059.48,777,,,
410,20055,48201,1,155504.36,777,,,
411,20055,48355,1,39496.42,777,,,
412,20057,48167,1,84772.5,777,,,
413,20057,48201,1,203899.0,777,,,
414,20057,48355,1,38572.6,777,,,
415,20069,22093,1,20950.6,777,,,
416,20069,48201,1,21714.22,777,,,
417,20069,53011,1,19384.2,777,,,
418,20069,53053,1,21737.36,777,,,
419,20075,48167,1,20060.6,777,,,
420,20075,48201,1,61198.18,777,,,
421,20075,53011,1,21440.1,777,,,
422,20075,53053,1,22331.88,777,,,
423,20091,6001,1,8045.6,777,,,
424,20091,6037,1,577681.2,777,,,
425,20091,17031,1,320.4,777,,,
426,20091,48201,1,2349.6,777,,,
427,20155,48167,1,254974.32,777,,,
428,20155,48355,1,75126.68,777,,,
429,20157,48323,1,1708.8,777,,,
430,20169,48167,1,47888.23,777,,,
431,20169,48201,1,102944.52,777,,,
432,20169,48355,1,20089.08,777,,,
433,20169,53011,1,19407.34,777,,,
434,20173,6019,1,3631.2,777,,,
435,20173,48167,1,175853.32,777,,,
436,20173,48355,1,20514.5,777,,,
437,20189,48167,1,86479.52,777,,,
438,20189,48355,1,19110.08,777,,,
439,20191,48355,1,19560.42,777,,,
440,27003,17031,1,13663.28,777,,,
441,27003,27053,1,30961.32,777,,,
442,27027,6031,1,3666.8,777,,,
443,27027,53061,1,6870.8,777,,,
444,27027,53077,1,3880.4,777,,,
445,27053,27003,1,9729.48,777,,,
446,27053,28081,1,3346.4,777,,,
447,27053,29077,1,13812.8,777,,,
448,27053,31123,1,3631.2,777,,,
449,27069,38093,1,53460.52,777,,,
450,27069,48323,1,3666.8,777,,,
451,27113,8031,1,7084.4,777,,,
452,27113,48113,1,3488.8,777,,,
453,27113,48323,1,2954.8,777,,,
454,27113,48355,1,8472.8,777,,,
455,27113,48355,1,11748.0,777,,,
456,27119,17031,1,10430.8,777,,,
457,27119,20037,1,3560.0,777,,,
458,27119,22019,1,3132.8,777,,,
459,27119,48201,1,12744.8,777,,,
460,27119,48355,1,1993.6,777,,,
