,OFIPS,startRR,ONODE,ODIST
368,41059.0,802.0,41001.0,30.9189347
369,47157.0,802.0,47013.0,8.51997441
370,48061.0,802.0,48012.0,16.73295684
371,48093.0,802.0,48132.0,84.10598194
372,48111.0,802.0,48003.0,15.2770226
373,48183.0,802.0,48071.0,4.221879115
374,48201.0,802.0,48095.0,3.538944793
375,48215.0,802.0,48012.0,31.62661557
376,48309.0,802.0,48028.0,7.029255612
377,48353.0,802.0,48001.0,15.40446383
378,48375.0,802.0,48003.0,57.87799021
379,48409.0,802.0,48015.0,5.714309273
380,48479.0,802.0,48013.0,21.22692365
381,48489.0,802.0,48012.0,19.52083208
382,49035.0,802.0,49009.0,7.074482618
383,53033.0,802.0,53006.0,19.24589374
384,53053.0,802.0,53010.0,18.61381751
385,53063.0,802.0,53022.0,2.76019244
386,53071.0,802.0,53023.0,22.83488128
387,53075.0,802.0,53016.0,51.69809845
388,55031.0,802.0,27024.0,118.520927
389,55033.0,802.0,27042.0,57.68298064
390,50019.0,0.0,50001.0,25.34282551
391,55023.0,879.0,55014.0,18.44743285
392,26063.0,0.0,26059.0,55.48972002
393,26145.0,0.0,26004.0,9.464072012
394,26157.0,0.0,26004.0,25.11109976
395,46005.0,0.0,46011.0,4.631626276
396,46055.0,0.0,46010.0,84.64372363
397,46103.0,0.0,46010.0,20.32131428
398,46117.0,0.0,46002.0,111.6739638
399,46119.0,0.0,46002.0,84.22693453
400,13099.0,0.0,13061.0,16.30886238
401,17019.0,103.0,17075.0,2.43241274
402,17021.0,103.0,17036.0,1.26903493
403,17029.0,103.0,17056.0,8.97177397
404,17035.0,103.0,17056.0,15.83576805
405,17039.0,103.0,17194.0,22.66674007
406,17041.0,103.0,17201.0,4.404021069
407,17049.0,103.0,17076.0,4.523537998
408,17051.0,103.0,17202.0,18.57858495
409,17053.0,103.0,17127.0,12.18437029
410,17075.0,103.0,17064.0,9.034645634
411,17079.0,103.0,17107.0,1.452141566
412,17085.0,103.0,17017.0,12.51703293
413,17107.0,103.0,17025.0,9.356267454
