,ID,A_NODE,B_NODE,LENGTH,TTIME,CAPACITY,P1,P2,GAMMA,TADJ,ML_CLASS,LINK_TYPE,NO_RRS,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
1856,53014,53031,53006,9.70146,10.5834109091,216.0,0.002022,7.879387,10.0,0,0,4,2,777,802,0,0,0,0,0,0
1857,53015,53006,53010,11.87725,12.957,216.0,0.002022,7.879387,10.0,0,0,4,2,777,802,0,0,0,0,0,0
1858,53016,53010,53027,16.17096,17.6410472727,216.0,0.002022,7.879387,10.0,0,0,4,2,777,802,0,0,0,0,0,0
1859,53017,53028,53011,26.32425,28.7173636364,216.0,0.002022,7.879387,10.0,0,0,4,2,777,802,0,0,0,0,0,0
1860,53018,53012,53011,75.43557,82.2933490909,216.0,0.002022,7.879387,10.0,0,0,4,2,777,802,0,0,0,0,0,0
1861,53019,53012,53013,35.88266,39.14472,216.0,0.002022,7.879387,10.0,0,0,4,2,777,802,0,0,0,0,0,0
1862,41001,41013,53014,0.7451,1.4902,36.0,0.012131,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1863,41002,41023,41013,150.79799,301.59598,36.0,0.012131,15.758774,25.0,0,0,2,2,777,802,0,0,0,0,0,0
1864,41003,41003,41023,67.99005,83.253122449,23.0,0.018955,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1865,6003,6001,6060,124.66132,213.70512,13.1,0.026081,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
1866,6004,6060,41002,78.07948,95.6075265306,16.5,0.019724,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1867,6005,6023,6024,82.56836,70.77288,86.0,0.003787,21.631586,25.0,0,0,2,1,802,0,0,0,0,0,0,0
1868,6006,6015,6023,22.12531,18.9645514286,86.0,0.003787,21.631586,25.0,0,0,2,1,802,0,0,0,0,0,0,0
1869,6007,6002,6014,65.90647,56.49126,72.0,0.006066,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1870,6008,6015,6016,50.05835,75.087525,68.0,0.005007,23.200626,32.5,0,0,2,2,802,777,0,0,0,0,0,0
1871,6009,6084,6016,15.56908,23.35362,25.9,0.016849,15.758774,25.0,0,0,4,2,802,777,0,0,0,0,0,0
1872,6010,6019,6020,5.0246,6.02952,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1873,6011,6018,6019,29.87747,35.852964,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1874,6012,6018,6005,7.4667,8.96004,216.0,0.002022,7.879387,10.0,0,0,4,2,777,802,0,0,0,0,0,0
1875,29076,29009,29070,56.44942,56.44942,86.0,0.003787,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1876,29077,29001,31023,19.70798,19.70798,86.0,0.003787,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1877,31024,31023,31037,89.65772,89.65772,86.0,0.003787,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1878,46006,46012,46002,73.72965,176.95116,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1879,46007,46002,46006,55.27727,132.665448,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1880,46008,46006,46014,85.31537,204.756888,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1881,17176,17048,17040,0.72473,4.34838,27.5,0.011834,21.631586,25.0,0,0,2,1,712,0,0,0,0,0,0,0
1882,17177,17144,17048,2.75147,3.301764,258.0,0.001262,10.815793,10.0,0,1,4,1,777,0,0,0,0,0,0,0
1883,17178,17157,17041,8.69589,10.435068,216.0,0.002022,7.879387,10.0,0,0,4,1,802,0,0,0,0,0,0,0
1884,17179,17200,17041,4.42014,10.608336,258.0,0.001262,10.815793,10.0,0,0,4,1,802,0,0,0,0,0,0,0
1885,17180,17144,17049,1.5729,3.77496,258.0,0.001262,10.815793,10.0,0,0,4,6,83,712,555,777,103,105,0,0
1886,17181,17040,17049,2.5969,15.5814,129.0,0.002525,21.631586,25.0,0,0,3,2,712,103,0,0,0,0,0,0
1887,29078,29074,29023,3.99145,5.987175,216.0,0.002022,7.879387,10.0,0,0,4,3,802,105,400,0,0,0,0,0
1888,29079,29025,29046,26.69661,29.1235745455,51.6,0.006312,21.631586,25.0,0,2,2,2,777,555,0,0,0,0,0,0
1889,29080,29025,17123,37.65831,50.21108,13.8,0.031592,15.758774,25.0,0,0,2,1,400,0,0,0,0,0,0,0
1890,17182,17077,17050,33.45164,36.4926981818,43.2,0.01011,15.758774,25.0,0,1,2,1,802,0,0,0,0,0,0,0
1891,42084,42001,42037,1.52399,1.828788,129.0,0.002525,21.631586,25.0,0,1,4,2,555,105,0,0,0,0,0,0
1892,42085,42002,42001,3.32244,3.986928,258.0,0.001262,10.815793,10.0,0,0,4,1,555,0,0,0,0,0,0,0
1893,42086,42041,42002,0.97181,1.166172,258.0,0.001262,10.815793,10.0,0,0,4,1,555,0,0,0,0,0,0,0
